UNIPROT_ID,PMID
P10275,"['1561105', '9096391', '10332029', '10075738', '10383460', '10400640', '10625666', '10930412', '11121022', '12361945', '12039962', '12415108', '19666546', '14609956', '12958311', '14664718', '12612053', '14573606', '16027218', '16051670', '17045208', '16951154', '17587566', '17550981', '18222118', '17494760', '18451177', '18451096', '18084323', '19909775', '19345326', '19022849', '20980437', '20501646', '20623637', '21512132', '20812024', '22170608', '21406692', '22031296', '23887938', '23487765', '24275569', '10840043', '11906285', '15525515', '15563469', '16129672', '16641486', '18007036', '17311914', '17591767', '17711855', '17911242', '25091737', '1458719', '8339746', '8240973', '7937057', '7626493', '9016528', '22334387', '2260966', '2082179', '1856263', '1999491', '2010552', '2062380', '1609793', '1424203', '1426313', '1487249', '1307250', '1569163', '1464650', '1430233', '1562539', '1316540', '1480178', '1303262', '1631125', '8213813', '8224266', '8103398', '8281139', '8281140', '8325932', '8325950', '8097257', '8096390', '8274409', '8446106', '8145761', '7511268', '8292051', '8187068', '7910529', '7909256', '8205256', '8033918', '8162033', '7981687', '7981689', '8126121', '7962294', '8040309', '7929841', '7993455', '7970939', '8830623', '7712463', '7641413', '7671849', '7633398', '7537149', '7581399', '7591265', '7673412', '8530589', '7649358', '7723794', '8723113', '1002/(sici)1096-8628(19960503)63:1<218::aid-ajmg38>3.0.co;2-p', '9816170', '9039340', '9001799', '8824883', '8550758', '8626869', '8768864', '8823308', '8918984', '8683794', '8647313', '8809734', '8628719', '1002/(sici)1097-0045(199603)28:3<162::aid-pros3>3.0.co;2-h', '8827083', '1002/1097-0045(199609)29:3<153::aid-pros2990290303>3.0.co;2-5', '9106550', '9000575', '9196614', '9160185', '9007482', '8990010', '1002/(sici)1098-1004(1997)9:1<57::aid-humu10>3.0.co;2-o', '9438000', '9184448', '9255042', '9329414', '9252933', '9328206', '9302173', '9544375', '9698822', '9788719', '9610419', '9856504', '9554754', '9554755', '9543136', '9768671', '9851768', '9627582', '9607727', '10470409', '10363963', '10502786', '1002/(sici)1098-1004(199910)14:4<353::aid-humu16>3.0.co;2-7', '10571951', '1002/(sici)1098-1004(199912)14:6<527::aid-humu12>3.0.co;2-x', '10221692', '10404311', '10022458', '10629558', '1002/(sici)1096-9896(199912)189:4<559::aid-path471>3.0.co;2-y', '10569618', '10543676', '10221770', '10598582', '10590024', '10458483', '10092153', '10706109', '10690872', '11587068', '11231320', '11744994', '15902657', '15851746', '14756668', '16595706', '27535533', '33647767']"
P20813,"['10768437', '11695850', '12865317', '21289075', '24275569', '20061448', '21875942', '22909231', '15622315', '15194512', '20639527', '20860463', '11243870', '11470993', '12642465', '12721789', '14551287', '15190123', '15469410']"
Q9NSA0,"['15291761', '15102942', '15576633']"
Q9H015,"['10215651', '14608356', '12436193', '15459889', '15107849']"
P04150,"['3841189', '8358712', '7769088', '8621628', '9353307', '9154805', '9590696', '10477749', '10566686', '10902803', '10866662', '10639135', '11358809', '11555652', '11238589', '11435610', '11381138', '12144530', '12000743', '12415108', '19666546', '15265776', '15211577', '15866175', '15591535', '15941832', '16914116', '16478993', '16964243', '18691976', '18838540', '18483179', '18669648', '19248771', '19141540', '19690332', '20078863', '20484466', '20068231', '21269460', '21664385', '21730050', '22170608', '21980503', '22814378', '23303127', '23186163', '23508108', '23820903', '24275569', '25114211', '26711253', '25775514', '25847991', '27353360', '29127155', '28112733', '12151000', '12686538', '1704018', '8358735', '8445027', '7683692', '8316249', '9150737', '10391209', '10898924', '1002/1096-8628(20000612)96:3<412::aid-ajmg33>3.0.co;2-c', '11589680', '11344238', '11701741', '12351458', '11932321', '12050230', '15276593', '15292341', '15769988', '16030164', '17635946', '20335448', '21362280', '23426617', '24483153', '26031419', '26541474', '27120390', '']"
P00750,"['6682760', '6433976', '2513186', '1900431', '1645336', '10340997', '11384978', '15053742', '14759258', '2558718', '1901789', '1762144', '1310033', '1602484', '7582899', '8613982', '9305622']"
Q8N4C8,"['16337592', '17081983', '18930710', '18220336', '18088087', '18691976', '18669648', '19369195', '19690332', '20068231', '21269460', '21690388', '21406692', '23186163', '24275569', '24129315', '17344846', '19413330']"
P0DMS8,"['27886186', '16959974']"
Q13188,"['11278283', '15618521', '15688006', '16510573', '16930133', '18328708', '18691976', '18362890', '18669648', '19413330', '19484742', '19369195', '19525978', '19690332', '20086174', '21145499', '20212043', '21076410', '20231902', '21269460', '21199877', '21104395', '21406692', '23186163', '28087714', '17344846']"
Q9UL54,"['11279118', '12639963', '12665513', '16893890', '17396146', '17158878', '18691976', '19226137', '19369195', '20159944', '20068231', '21269460', '23186163', '24275569']"
P05543,"['414747', '16335952', '19838169', '21269460', '16938877', '18407078', '2155256', '2501669', '1294376', '1906047', '1901689', '1515456', '2495303', '2115061']"
P29274,"['17689978', '20836733', '7775460', '16339847', '18832607', '10391209']"
P11511,"['3964273', '8117272', '20385561', '22773874', '19129847', '8265607', '8530621', '9211678', '9352581', '10956405', '1002/1097-0215(20000720)89:4<325::aid-ijc2>3.0.co;2-3', '18987736', '24705274', '27657680', '27702664']"
P15538,"['18215163', '2022736', '9302260', '10599751', '10391209', '10391210', '16046588', '20331679', '20089618', '20947076', '23940125', '24536089', '24022297', '24987415', '26053152', '26476331']"
Q14994,"['8603043', '14573755', '19858220', '15610735', '', '15618763', '22726846', '']"
